baby,dclm-1.0,,,,,,
flag,finepdfs-edu-1.0.0,cat_Latn,pdf,cat_Latn,1128706849.05919,0.98244544119287,
flag,finepdfs-edu-1.0.0,ces_Latn,pdf,ces_Latn,1416037847.45698,0.348007652975514,
flag,finepdfs-edu-1.0.0,dan_Latn,pdf,dan_Latn,994204525.207835,0.591262564980221,
flag,finepdfs-edu-1.0.0,deu_Latn,pdf,deu_Latn,3468916381.56782,0.206958687159707,
flag,finepdfs-edu-1.0.0,ekk_Latn,pdf,ekk_Latn,622441411.107735,1.53065647861165,
flag,finepdfs-edu-1.0.0,ell_Grek,pdf,ell_Grek,2053533046.63567,0.878276304587423,
flag,finepdfs-edu-1.0.0,eng_Latn,,,,,
flag,finepdfs-edu-1.0.0,eus_Latn,pdf,eus_Latn,770033985.455573,2.60895728552446,
flag,finepdfs-edu-1.0.0,fin_Latn,pdf,fin_Latn,1158487168.93869,0.591294677625838,
flag,finepdfs-edu-1.0.0,fra_Latn,pdf,fra_Latn,4577987854.88229,0.261517276691005,
flag,finepdfs-edu-1.0.0,glg_Latn,pdf,glg_Latn,806686686.845722,3.41910118117982,
flag,finepdfs-edu-1.0.0,hrv_Latn,pdf,hrv_Latn,1064564621.62642,0.652594187197744,
flag,finepdfs-edu-1.0.0,hun_Latn,pdf,hun_Latn,1567884753.21617,0.322125348470466,
flag,finepdfs-edu-1.0.0,isl_Latn,pdf,isl_Latn,730435977.703715,2.92175371622033,
flag,finepdfs-edu-1.0.0,ita_Latn,pdf,ita_Latn,3307906300.46109,0.324472806913985,
flag,finepdfs-edu-1.0.0,lit_Latn,pdf,lit_Latn,979805249.661706,1.11605302149923,
flag,finepdfs-edu-1.0.0,lvs_Latn,pdf,lvs_Latn,875083245.689844,1.571609208176,
flag,finepdfs-edu-1.0.0,mkd_Cyrl,pdf,mkd_Cyrl,917626559.803411,3.45164992969615,
flag,finepdfs-edu-1.0.0,mlt_Latn,pdf,mlt_Latn,770862040,8,
flag,finepdfs-edu-1.0.0,nld_Latn,pdf,nld_Latn,1944229454.99004,0.397361089037001,
flag,finepdfs-edu-1.0.0,nno_Latn,pdf,nno_Latn,329095592,8,
flag,finepdfs-edu-1.0.0,nob_Latn,pdf,nob_Latn,896682159.00904,0.690025389129438,
flag,finepdfs-edu-1.0.0,pol_Latn,pdf,pol_Latn,2133056318.4018,0.283799395203853,
flag,finepdfs-edu-1.0.0,por_Latn,pdf,por_Latn,3707486196.86621,0.288977119235925,
flag,finepdfs-edu-1.0.0,ron_Latn,pdf,ron_Latn,1597665073.09567,0.360751213900952,
flag,finepdfs-edu-1.0.0,slk_Latn,pdf,slk_Latn,1071437003.16981,0.581669880619157,
flag,finepdfs-edu-1.0.0,slv_Latn,pdf,slv_Latn,972605611.888639,1.57549934004216,
flag,finepdfs-edu-1.0.0,spa_Latn,pdf,spa_Latn,6670791653.00739,0.23449222337245,
flag,finepdfs-edu-1.0.0,srp_Cyrl,pdf,srp_Cyrl,1091072378.8818,0.567926690998584,
flag,finepdfs-edu-1.0.0,swe_Latn,pdf,swe_Latn,1346332263.56321,0.411718191887617,
flag,finepdfs-edu-1.0.0,tur_Latn,pdf,tur_Latn,1808418106.08903,0.738758553505526,
flag,finepdfs-edu-1.0.0,ukr_Cyrl,pdf,ukr_Cyrl,1462180980.45708,0.305634810241075,56667039886.8127
flag,finephrase-0.0.0,,,,,,
flag,finewiki-0.0.0,bos_Latn,,,,,
flag,finewiki-0.0.0,bul_Cyrl,,,,,
flag,finewiki-0.0.0,cat_Latn,,,,,
flag,finewiki-0.0.0,ces_Latn,,,,,
flag,finewiki-0.0.0,dan_Latn,,,,,
